annee;mois;puissance;type;consommation
2020;1;1500.0;Réfrigérateurs et Congélateurs;39.54427093739442
2021;1;1500.0;Réfrigérateurs et Congélateurs;35.08383035054599
2023;1;1500.0;Réfrigérateurs et Congélateurs;38.246838658879334
2024;1;1500.0;Réfrigérateurs et Congélateurs;38.199999999999946
2020;2;1500.0;Réfrigérateurs et Congélateurs;37.86895847181956
2021;2;1500.0;Réfrigérateurs et Congélateurs;31.87993763527252
2023;2;1500.0;Réfrigérateurs et Congélateurs;38.035287542542676
2024;2;1500.0;Réfrigérateurs et Congélateurs;35.399999999999956
2020;3;1500.0;Réfrigérateurs et Congélateurs;35.567386775262875
2021;3;1500.0;Réfrigérateurs et Congélateurs;40.57484102921833
2023;3;1500.0;Réfrigérateurs et Congélateurs;41.4142600819139
2024;3;1500.0;Réfrigérateurs et Congélateurs;38.17499999999997
2020;4;1500.0;Réfrigérateurs et Congélateurs;35.718780421446155
2021;4;1500.0;Réfrigérateurs et Congélateurs;34.16972848010465
2023;4;1500.0;Réfrigérateurs et Congélateurs;40.02731324943738
2024;4;1500.0;Réfrigérateurs et Congélateurs;36.49999999999996
2020;5;1500.0;Réfrigérateurs et Congélateurs;37.91556512355507
2021;5;1500.0;Réfrigérateurs et Congélateurs;41.148527080506746
2023;5;1500.0;Réfrigérateurs et Congélateurs;38.83726327468002
2024;5;1500.0;Réfrigérateurs et Congélateurs;37.89999999999998
2020;6;1500.0;Réfrigérateurs et Congélateurs;34.96957331351942
2021;6;1500.0;Réfrigérateurs et Congélateurs;34.7500697665942
2023;6;1500.0;Réfrigérateurs et Congélateurs;33.56044904602682
2024;6;1500.0;Réfrigérateurs et Congélateurs;36.599999999999966
2020;7;1500.0;Réfrigérateurs et Congélateurs;0.0
2021;7;1500.0;Réfrigérateurs et Congélateurs;0.0
2023;7;1500.0;Réfrigérateurs et Congélateurs;0.0
2020;8;1500.0;Réfrigérateurs et Congélateurs;0.0
2021;8;1500.0;Réfrigérateurs et Congélateurs;0.0
2023;8;1500.0;Réfrigérateurs et Congélateurs;0.0
2020;9;1500.0;Réfrigérateurs et Congélateurs;0.0
2021;9;1500.0;Réfrigérateurs et Congélateurs;0.0
2023;9;1500.0;Réfrigérateurs et Congélateurs;0.0
2020;10;1500.0;Réfrigérateurs et Congélateurs;0.0
2021;10;1500.0;Réfrigérateurs et Congélateurs;0.0
2023;10;1500.0;Réfrigérateurs et Congélateurs;0.0
2020;11;1500.0;Réfrigérateurs et Congélateurs;0.0
2021;11;1500.0;Réfrigérateurs et Congélateurs;0.0
2023;11;1500.0;Réfrigérateurs et Congélateurs;0.0
2020;12;1500.0;Réfrigérateurs et Congélateurs;0.0
2021;12;1500.0;Réfrigérateurs et Congélateurs;0.0
2023;12;1500.0;Réfrigérateurs et Congélateurs;0.0
2020;1;200.0;Equipements de bureaux;5.2368527612276825
2021;1;200.0;Equipements de bureaux;4.72781346176393
2023;1;200.0;Equipements de bureaux;4.82645590837913
2024;1;200.0;Equipements de bureaux;5.093333333333329
2020;2;200.0;Equipements de bureaux;4.981427443463038
2021;2;200.0;Equipements de bureaux;4.266907139904608
2023;2;200.0;Equipements de bureaux;4.9994324908023335
2024;2;200.0;Equipements de bureaux;4.719999999999996
2020;3;200.0;Equipements de bureaux;5.460979693470789
2021;3;200.0;Equipements de bureaux;4.928364087954773
2023;3;200.0;Equipements de bureaux;4.81079756625227
2024;3;200.0;Equipements de bureaux;5.0899999999999945
2020;4;200.0;Equipements de bureaux;5.3471552257828465
2021;4;200.0;Equipements de bureaux;4.487021549640446
2023;4;200.0;Equipements de bureaux;5.0640992446185695
2024;4;200.0;Equipements de bureaux;4.866666666666663
2020;5;200.0;Equipements de bureaux;4.7623244874175095
2021;5;200.0;Equipements de bureaux;5.429184325221393
2023;5;200.0;Equipements de bureaux;4.667874789870106
2024;5;200.0;Equipements de bureaux;5.053333333333327
2020;6;200.0;Equipements de bureaux;4.567746796302093
2021;6;200.0;Equipements de bureaux;5.053085941542753
2023;6;200.0;Equipements de bureaux;4.545466654410102
2024;6;200.0;Equipements de bureaux;4.8799999999999955
2020;7;200.0;Equipements de bureaux;0.0
2021;7;200.0;Equipements de bureaux;0.0
2023;7;200.0;Equipements de bureaux;0.0
2020;8;200.0;Equipements de bureaux;0.0
2021;8;200.0;Equipements de bureaux;0.0
2023;8;200.0;Equipements de bureaux;0.0
2020;9;200.0;Equipements de bureaux;0.0
2021;9;200.0;Equipements de bureaux;0.0
2023;9;200.0;Equipements de bureaux;0.0
2020;10;200.0;Equipements de bureaux;0.0
2021;10;200.0;Equipements de bureaux;0.0
2023;10;200.0;Equipements de bureaux;0.0
2020;11;200.0;Equipements de bureaux;0.0
2021;11;200.0;Equipements de bureaux;0.0
2023;11;200.0;Equipements de bureaux;0.0
2020;12;200.0;Equipements de bureaux;0.0
2021;12;200.0;Equipements de bureaux;0.0
2023;12;200.0;Equipements de bureaux;0.0
2020;1;200.0;Equipements de bureaux;5.413012723445473
2021;1;200.0;Equipements de bureaux;5.308334415431008
2023;1;200.0;Equipements de bureaux;4.601293038197451
2024;1;200.0;Equipements de bureaux;5.013333333333328
2020;2;200.0;Equipements de bureaux;4.930065502934871
2021;2;200.0;Equipements de bureaux;4.653475423750436
2023;2;200.0;Equipements de bureaux;5.12956716329472
2024;2;200.0;Equipements de bureaux;4.799999999999994
2020;3;200.0;Equipements de bureaux;4.545108730902648
2021;3;200.0;Equipements de bureaux;5.510307709621607
2023;3;200.0;Equipements de bureaux;4.935459301984922
2024;3;200.0;Equipements de bureaux;5.009999999999992
2020;4;200.0;Equipements de bureaux;4.708799360565757
2021;4;200.0;Equipements de bureaux;4.583431025825385
2023;4;200.0;Equipements de bureaux;4.7067729870100745
2024;4;200.0;Equipements de bureaux;4.863333333333327
2020;5;200.0;Equipements de bureaux;4.638731086831699
2021;5;200.0;Equipements de bureaux;4.705241089629141
2023;5;200.0;Equipements de bureaux;5.443314396512741
2024;5;200.0;Equipements de bureaux;5.053333333333329
2020;6;200.0;Equipements de bureaux;5.360990989778495
2021;6;200.0;Equipements de bureaux;4.679829273394369
2023;6;200.0;Equipements de bureaux;4.866669109746819
2024;6;200.0;Equipements de bureaux;4.889999999999995
2020;7;200.0;Equipements de bureaux;0.0
2021;7;200.0;Equipements de bureaux;0.0
2023;7;200.0;Equipements de bureaux;0.0
2020;8;200.0;Equipements de bureaux;0.0
2021;8;200.0;Equipements de bureaux;0.0
2023;8;200.0;Equipements de bureaux;0.0
2020;9;200.0;Equipements de bureaux;0.0
2021;9;200.0;Equipements de bureaux;0.0
2023;9;200.0;Equipements de bureaux;0.0
2020;10;200.0;Equipements de bureaux;0.0
2021;10;200.0;Equipements de bureaux;0.0
2023;10;200.0;Equipements de bureaux;0.0
2020;11;200.0;Equipements de bureaux;0.0
2021;11;200.0;Equipements de bureaux;0.0
2023;11;200.0;Equipements de bureaux;0.0
2020;12;200.0;Equipements de bureaux;0.0
2021;12;200.0;Equipements de bureaux;0.0
2023;12;200.0;Equipements de bureaux;0.0
2020;1;350.0;Equipements médicaux;8.454813486232347
2021;1;350.0;Equipements médicaux;9.10072608181216
2023;1;350.0;Equipements médicaux;8.677423564410963
2024;1;350.0;Equipements médicaux;8.662500000000017
2020;2;350.0;Equipements médicaux;8.33634771401479
2021;2;350.0;Equipements médicaux;8.486752711717399
2023;2;350.0;Equipements médicaux;8.974235231582075
2024;2;350.0;Equipements médicaux;8.236666666666679
2020;3;350.0;Equipements médicaux;9.415749531886895
2021;3;350.0;Equipements médicaux;8.353036587188772
2023;3;350.0;Equipements médicaux;8.910193709567864
2024;3;350.0;Equipements médicaux;8.796666666666683
2020;4;350.0;Equipements médicaux;8.600306692234723
2021;4;350.0;Equipements médicaux;8.078271277412892
2023;4;350.0;Equipements médicaux;9.336354224278601
2024;4;350.0;Equipements médicaux;8.691666666666679
2020;5;350.0;Equipements médicaux;8.209990331885795
2021;5;350.0;Equipements médicaux;8.424239193535376
2023;5;350.0;Equipements médicaux;8.561502855661976
2024;5;350.0;Equipements médicaux;8.773333333333351
2020;6;350.0;Equipements médicaux;7.623865936237039
2021;6;350.0;Equipements médicaux;8.669178340758629
2023;6;350.0;Equipements médicaux;7.894543542066137
2024;6;350.0;Equipements médicaux;8.44083333333335
2020;7;350.0;Equipements médicaux;0.0
2021;7;350.0;Equipements médicaux;0.0
2023;7;350.0;Equipements médicaux;0.0
2020;8;350.0;Equipements médicaux;0.0
2021;8;350.0;Equipements médicaux;0.0
2023;8;350.0;Equipements médicaux;0.0
2020;9;350.0;Equipements médicaux;0.0
2021;9;350.0;Equipements médicaux;0.0
2023;9;350.0;Equipements médicaux;0.0
2020;10;350.0;Equipements médicaux;0.0
2021;10;350.0;Equipements médicaux;0.0
2023;10;350.0;Equipements médicaux;0.0
2020;11;350.0;Equipements médicaux;0.0
2021;11;350.0;Equipements médicaux;0.0
2023;11;350.0;Equipements médicaux;0.0
2020;12;350.0;Equipements médicaux;0.0
2021;12;350.0;Equipements médicaux;0.0
2023;12;350.0;Equipements médicaux;0.0
2020;1;300.0;Equipements médicaux;7.2833985024337204
2021;1;300.0;Equipements médicaux;7.69485800883192
2023;1;300.0;Equipements médicaux;6.90136813259455
2024;1;300.0;Equipements médicaux;7.425000000000005
2020;2;300.0;Equipements médicaux;7.034687145259092
2021;2;300.0;Equipements médicaux;6.98157492170556
2023;2;300.0;Equipements médicaux;7.380236028137353
2024;2;300.0;Equipements médicaux;7.060000000000004
2020;3;300.0;Equipements médicaux;7.826275725443221
2021;3;300.0;Equipements médicaux;6.819578481779198
2023;3;300.0;Equipements médicaux;7.557625655263755
2024;3;300.0;Equipements médicaux;7.540000000000004
2020;4;300.0;Equipements médicaux;7.755615925812023
2021;4;300.0;Equipements médicaux;8.069313626697548
2023;4;300.0;Equipements médicaux;7.638086743297037
2024;4;300.0;Equipements médicaux;7.450000000000004
2020;5;300.0;Equipements médicaux;7.532681587989286
2021;5;300.0;Equipements médicaux;8.052223973093378
2023;5;300.0;Equipements médicaux;6.88256706311949
2024;5;300.0;Equipements médicaux;7.520000000000003
2020;6;300.0;Equipements médicaux;7.670074669156097
2021;6;300.0;Equipements médicaux;7.011479684837759
2023;6;300.0;Equipements médicaux;7.908040832939399
2024;6;300.0;Equipements médicaux;7.235000000000004
2020;7;300.0;Equipements médicaux;0.0
2021;7;300.0;Equipements médicaux;0.0
2023;7;300.0;Equipements médicaux;0.0
2020;8;300.0;Equipements médicaux;0.0
2021;8;300.0;Equipements médicaux;0.0
2023;8;300.0;Equipements médicaux;0.0
2020;9;300.0;Equipements médicaux;0.0
2021;9;300.0;Equipements médicaux;0.0
2023;9;300.0;Equipements médicaux;0.0
2020;10;300.0;Equipements médicaux;0.0
2021;10;300.0;Equipements médicaux;0.0
2023;10;300.0;Equipements médicaux;0.0
2020;11;300.0;Equipements médicaux;0.0
2021;11;300.0;Equipements médicaux;0.0
2023;11;300.0;Equipements médicaux;0.0
2020;12;300.0;Equipements médicaux;0.0
2021;12;300.0;Equipements médicaux;0.0
2023;12;300.0;Equipements médicaux;0.0
2020;1;150.0;Equipements de bureaux;3.478835956030905
2021;1;150.0;Equipements de bureaux;3.7484210580135993
2023;1;150.0;Equipements de bureaux;3.7044788512658187
2024;1;150.0;Equipements de bureaux;3.7125000000000026
2020;2;150.0;Equipements de bureaux;3.8828116155039822
2021;2;150.0;Equipements de bureaux;3.262287896584504
2023;2;150.0;Equipements de bureaux;3.5420254165134706
2024;2;150.0;Equipements de bureaux;3.530000000000002
2020;3;150.0;Equipements de bureaux;3.697834378627403
2021;3;150.0;Equipements de bureaux;3.543626524848943
2023;3;150.0;Equipements de bureaux;3.899439949828709
2024;3;150.0;Equipements de bureaux;3.770000000000002
2020;4;150.0;Equipements de bureaux;3.7898830308374447
2021;4;150.0;Equipements de bureaux;3.6531875077811646
2023;4;150.0;Equipements de bureaux;3.9242845950938317
2024;4;150.0;Equipements de bureaux;3.725000000000002
2020;5;150.0;Equipements de bureaux;3.641575859398922
2021;5;150.0;Equipements de bureaux;3.5811604637929073
2023;5;150.0;Equipements de bureaux;3.6592597342313407
2024;5;150.0;Equipements de bureaux;3.7600000000000016
2020;6;150.0;Equipements de bureaux;3.7782915641066697
2021;6;150.0;Equipements de bureaux;3.500139036281387
2023;6;150.0;Equipements de bureaux;3.7170443281127024
2024;6;150.0;Equipements de bureaux;3.617500000000002
2020;7;150.0;Equipements de bureaux;0.0
2021;7;150.0;Equipements de bureaux;0.0
2023;7;150.0;Equipements de bureaux;0.0
2020;8;150.0;Equipements de bureaux;0.0
2021;8;150.0;Equipements de bureaux;0.0
2023;8;150.0;Equipements de bureaux;0.0
2020;9;150.0;Equipements de bureaux;0.0
2021;9;150.0;Equipements de bureaux;0.0
2023;9;150.0;Equipements de bureaux;0.0
2020;10;150.0;Equipements de bureaux;0.0
2021;10;150.0;Equipements de bureaux;0.0
2023;10;150.0;Equipements de bureaux;0.0
2020;11;150.0;Equipements de bureaux;0.0
2021;11;150.0;Equipements de bureaux;0.0
2023;11;150.0;Equipements de bureaux;0.0
2020;12;150.0;Equipements de bureaux;0.0
2021;12;150.0;Equipements de bureaux;0.0
2023;12;150.0;Equipements de bureaux;0.0
2020;1;250.0;Equipements de bureaux;5.960879462965305
2021;1;250.0;Equipements de bureaux;6.894624746127252
2023;1;250.0;Equipements de bureaux;5.671834537722261
2024;1;250.0;Equipements de bureaux;6.270833333333336
2020;2;250.0;Equipements de bureaux;6.171130047426844
2021;2;250.0;Equipements de bureaux;5.772863702456625
2023;2;250.0;Equipements de bureaux;5.789444245098442
