annee;mois;puissance;type;consommation
2024;1;1500.0;Réfrigérateurs et Congélateurs;38.199999999999946
2024;2;1500.0;Réfrigérateurs et Congélateurs;35.399999999999956
2024;3;1500.0;Réfrigérateurs et Congélateurs;38.17499999999997
2024;4;1500.0;Réfrigérateurs et Congélateurs;36.49999999999996
2024;5;1500.0;Réfrigérateurs et Congélateurs;37.89999999999998
2024;6;1500.0;Réfrigérateurs et Congélateurs;1073.6957579641557
2024;1;200.0;Equipements de bureaux;5.093333333333329
2024;2;200.0;Equipements de bureaux;4.719999999999996
2024;3;200.0;Equipements de bureaux;5.0899999999999945
2024;4;200.0;Equipements de bureaux;4.866666666666663
2024;5;200.0;Equipements de bureaux;5.053333333333327
2024;6;200.0;Equipements de bureaux;12.809999999999981
2024;1;200.0;Equipements de bureaux;5.013333333333328
2024;2;200.0;Equipements de bureaux;4.799999999999994
2024;3;200.0;Equipements de bureaux;5.009999999999992
2024;4;200.0;Equipements de bureaux;4.863333333333327
2024;5;200.0;Equipements de bureaux;5.053333333333329
2024;6;200.0;Equipements de bureaux;13.176666666666684
2024;1;350.0;Equipements médicaux;8.662500000000017
2024;2;350.0;Equipements médicaux;8.236666666666679
2024;3;350.0;Equipements médicaux;8.796666666666683
2024;4;350.0;Equipements médicaux;8.691666666666679
2024;5;350.0;Equipements médicaux;8.773333333333351
2024;6;350.0;Equipements médicaux;22.965833333332274
2024;1;300.0;Equipements médicaux;7.425000000000005
2024;2;300.0;Equipements médicaux;7.060000000000004
2024;3;300.0;Equipements médicaux;7.540000000000004
2024;4;300.0;Equipements médicaux;7.450000000000004
2024;5;300.0;Equipements médicaux;7.520000000000003
2024;6;300.0;Equipements médicaux;19.39000000000036
2024;1;150.0;Equipements de bureaux;3.7125000000000026
2024;2;150.0;Equipements de bureaux;3.530000000000002
2024;3;150.0;Equipements de bureaux;3.770000000000002
2024;4;150.0;Equipements de bureaux;3.725000000000002
2024;5;150.0;Equipements de bureaux;3.7600000000000016
2024;6;150.0;Equipements de bureaux;9.637500000000227
2024;1;250.0;Equipements de bureaux;6.270833333333336
2024;2;250.0;Equipements de bureaux;6.000000000000002
2024;3;250.0;Equipements de bureaux;6.312500000000002
2024;4;250.0;Equipements de bureaux;6.070833333333334
2024;5;250.0;Equipements de bureaux;6.4
2024;6;250.0;Equipements de bureaux;16.254166666666343
2024;1;150.0;Equipements de bureaux;3.7625000000000015
2024;2;150.0;Equipements de bureaux;3.6000000000000005
2024;3;150.0;Equipements de bureaux;3.787500000000001
2024;4;150.0;Equipements de bureaux;3.6425000000000014
2024;5;150.0;Equipements de bureaux;3.840000000000001
2024;6;150.0;Equipements de bureaux;9.900000000000205
2024;1;150.0;Equipements médicaux;3.767500000000002
2024;2;150.0;Equipements médicaux;3.5700000000000016
2024;3;150.0;Equipements médicaux;3.7950000000000017
2024;4;150.0;Equipements médicaux;3.7050000000000014
2024;5;150.0;Equipements médicaux;3.7825000000000006
2024;6;150.0;Equipements médicaux;10.330000000000167
2024;1;200.0;Equipements médicaux;5.023333333333325
2024;2;200.0;Equipements médicaux;4.759999999999997
2024;3;200.0;Equipements médicaux;5.059999999999993
2024;4;200.0;Equipements médicaux;4.939999999999996
2024;5;200.0;Equipements médicaux;5.043333333333329
2024;6;200.0;Equipements médicaux;13.686666666666689
2024;1;500.0;Equipements médicaux;12.558333333333335
2024;2;500.0;Equipements médicaux;11.900000000000002
2024;3;500.0;Equipements médicaux;12.65
2024;4;500.0;Equipements médicaux;12.35
2024;5;500.0;Equipements médicaux;12.608333333333338
2024;6;500.0;Equipements médicaux;33.54999999999934
2024;1;100.0;Equipements de bureaux;2.5116666666666627
2024;2;100.0;Equipements de bureaux;2.3799999999999986
2024;3;100.0;Equipements de bureaux;2.5299999999999967
2024;4;100.0;Equipements de bureaux;2.469999999999998
2024;5;100.0;Equipements de bureaux;2.5216666666666643
2024;6;100.0;Equipements de bureaux;6.825000000000007
2024;1;200000.0;Equipements médicaux;5063.333333333332
2024;2;200000.0;Equipements médicaux;4716.666666666668
2024;3;200000.0;Equipements médicaux;5033.333333333332
2024;4;200000.0;Equipements médicaux;4889.999999999998
2024;5;200000.0;Equipements médicaux;5096.666666666666
2024;6;200000.0;Equipements médicaux;12856.66666666674
2024;1;2000.0;Equipements de cuisine;50.46666666666667
2024;2;2000.0;Equipements de cuisine;47.13333333333334
2024;3;2000.0;Equipements de cuisine;50.36666666666667
2024;4;2000.0;Equipements de cuisine;49.96666666666667
2024;5;2000.0;Equipements de cuisine;50.19999999999999
2024;6;2000.0;Equipements de cuisine;128.59999999999755
2024;1;2998.0;Equipements de cuisine;75.64953333333327
2024;2;2998.0;Equipements de cuisine;70.65286666666663
2024;3;2998.0;Equipements de cuisine;75.4996333333333
2024;4;2998.0;Equipements de cuisine;74.90003333333327
2024;5;2998.0;Equipements de cuisine;75.24979999999995
2024;6;2998.0;Equipements de cuisine;190.9226333333367
2024;1;4000.0;Equipements de cuisine;100.93333333333334
2024;2;4000.0;Equipements de cuisine;94.26666666666668
2024;3;4000.0;Equipements de cuisine;100.73333333333333
2024;4;4000.0;Equipements de cuisine;99.93333333333334
2024;5;4000.0;Equipements de cuisine;100.39999999999998
2024;6;4000.0;Equipements de cuisine;260.5333333333283
2024;1;399.0;Réfrigérateurs et Congélateurs;10.06810000000001
2024;2;399.0;Réfrigérateurs et Congélateurs;9.403100000000004
2024;3;399.0;Réfrigérateurs et Congélateurs;10.048150000000007
2024;4;399.0;Réfrigérateurs et Congélateurs;9.968350000000006
2024;5;399.0;Réfrigérateurs et Congélateurs;10.014900000000008
2024;6;399.0;Réfrigérateurs et Congélateurs;26.054700000000526
2024;1;500.0;Réfrigérateurs et Congélateurs;12.616666666666667
2024;2;500.0;Réfrigérateurs et Congélateurs;11.783333333333335
2024;3;500.0;Réfrigérateurs et Congélateurs;12.591666666666667
2024;4;500.0;Réfrigérateurs et Congélateurs;12.491666666666667
2024;5;500.0;Réfrigérateurs et Congélateurs;12.549999999999997
2024;6;500.0;Réfrigérateurs et Congélateurs;32.99166666666582
2024;1;5000.0;Equipements de cuisine;126.16666666666659
2024;2;5000.0;Equipements de cuisine;117.83333333333327
2024;3;5000.0;Equipements de cuisine;125.91666666666654
2024;4;5000.0;Equipements de cuisine;124.91666666666656
2024;5;5000.0;Equipements de cuisine;125.49999999999987
2024;6;5000.0;Equipements de cuisine;324.0833333333349
2024;1;1000.0;Equipements de cuisine;25.383333333333326
2024;2;1000.0;Equipements de cuisine;23.46666666666668
2024;3;1000.0;Equipements de cuisine;25.200000000000006
2024;4;1000.0;Equipements de cuisine;24.133333333333336
2024;5;1000.0;Equipements de cuisine;25.71666666666667
2024;6;1000.0;Equipements de cuisine;67.78333333333211
2024;1;6000.0;Réfrigérateurs et Congélateurs;4458.0
2024;2;6000.0;Réfrigérateurs et Congélateurs;4176.0
2024;3;6000.0;Réfrigérateurs et Congélateurs;4464.0
2024;4;6000.0;Réfrigérateurs et Congélateurs;4320.0
2024;5;6000.0;Réfrigérateurs et Congélateurs;4464.0
2024;6;6000.0;Réfrigérateurs et Congélateurs;4319.9
2024;1;7000.0;Equipements de cuisine;177.68333333333325
2024;2;7000.0;Equipements de cuisine;162.6333333333332
2024;3;7000.0;Equipements de cuisine;178.0333333333333
2024;4;7000.0;Equipements de cuisine;170.09999999999988
2024;5;7000.0;Equipements de cuisine;178.26666666666665
2024;6;7000.0;Equipements de cuisine;442.63333333334066
2024;1;300.0;Equipements de bureaux;7.565000000000004
2024;2;300.0;Equipements de bureaux;7.140000000000002
2024;3;300.0;Equipements de bureaux;7.620000000000003
2024;4;300.0;Equipements de bureaux;7.355000000000003
2024;5;300.0;Equipements de bureaux;7.720000000000004
2024;6;300.0;Equipements de bureaux;19.27000000000047
2024;1;100.0;Equipements de bureaux;2.5216666666666625
2024;2;100.0;Equipements de bureaux;2.3799999999999977
2024;3;100.0;Equipements de bureaux;2.5399999999999974
2024;4;100.0;Equipements de bureaux;2.4516666666666644
2024;5;100.0;Equipements de bureaux;2.5733333333333306
2024;6;100.0;Equipements de bureaux;6.539999999999999
2024;1;36.0;Prises à usage personnel;0.9042000000000011
2024;2;36.0;Prises à usage personnel;0.8568000000000012
2024;3;36.0;Prises à usage personnel;0.9108000000000014
2024;4;36.0;Prises à usage personnel;0.8892000000000013
2024;5;36.0;Prises à usage personnel;0.9078000000000009
2024;6;36.0;Prises à usage personnel;2.4845999999999613
2024;1;36.0;Prises à usage personnel;0.9114000000000014
2024;2;36.0;Prises à usage personnel;0.8490000000000013
2024;3;36.0;Prises à usage personnel;0.9060000000000011
2024;4;36.0;Prises à usage personnel;0.880200000000001
2024;5;36.0;Prises à usage personnel;0.9174000000000013
2024;6;36.0;Prises à usage personnel;2.3093999999999855
2024;1;36.0;Prises à usage personnel;0.9168000000000015
2024;2;36.0;Prises à usage personnel;0.8496000000000011
2024;3;36.0;Prises à usage personnel;0.9162000000000013
2024;4;36.0;Prises à usage personnel;0.8760000000000012
2024;5;36.0;Prises à usage personnel;0.9096000000000013
2024;6;36.0;Prises à usage personnel;2.360999999999979
2024;1;36.0;Prises à usage personnel;0.8982000000000014
2024;2;36.0;Prises à usage personnel;0.8442000000000013
2024;3;36.0;Prises à usage personnel;0.9168000000000012
2024;4;36.0;Prises à usage personnel;0.8946000000000011
2024;5;36.0;Prises à usage personnel;0.9138000000000012
2024;6;36.0;Prises à usage personnel;2.31479999999998
2024;1;36.0;Prises à usage personnel;0.9024000000000015
2024;2;36.0;Prises à usage personnel;0.864000000000001
2024;3;36.0;Prises à usage personnel;0.9018000000000012
2024;4;36.0;Prises à usage personnel;0.8754000000000012
2024;5;36.0;Prises à usage personnel;0.9096000000000015
2024;6;36.0;Prises à usage personnel;2.4305999999999686
2024;1;36.0;Prises à usage personnel;0.9030000000000011
2024;2;36.0;Prises à usage personnel;0.864000000000001
2024;3;36.0;Prises à usage personnel;0.909000000000001
2024;4;36.0;Prises à usage personnel;0.874200000000001
2024;5;36.0;Prises à usage personnel;0.9216000000000013
2024;6;36.0;Prises à usage personnel;2.0987999999999722
2024;1;36.0;Prises à usage personnel;0.8910000000000013
2024;2;36.0;Prises à usage personnel;0.847200000000001
2024;3;36.0;Prises à usage personnel;0.9048000000000012
2024;4;36.0;Prises à usage personnel;0.8940000000000012
2024;5;36.0;Prises à usage personnel;0.9024000000000015
2024;6;36.0;Prises à usage personnel;2.2979999999999756
2024;1;36.0;Prises à usage personnel;0.9192000000000012
2024;2;36.0;Prises à usage personnel;0.8544000000000009
2024;3;36.0;Prises à usage personnel;0.9102000000000011
2024;4;36.0;Prises à usage personnel;0.8784000000000011
2024;5;36.0;Prises à usage personnel;0.903000000000001
2024;6;36.0;Prises à usage personnel;2.3513999999999746
2024;1;36.0;Prises à usage personnel;0.9084000000000011
2024;2;36.0;Prises à usage personnel;0.8484000000000012
2024;3;36.0;Prises à usage personnel;0.9066000000000015
2024;4;36.0;Prises à usage personnel;0.8994000000000012
2024;5;36.0;Prises à usage personnel;0.9036000000000014
2024;6;36.0;Prises à usage personnel;2.384999999999968
2024;1;36.0;Prises à usage personnel;0.9138000000000016
2024;2;36.0;Prises à usage personnel;0.8448000000000009
2024;3;36.0;Prises à usage personnel;0.9072000000000012
2024;4;36.0;Prises à usage personnel;0.8688000000000012
2024;5;36.0;Prises à usage personnel;0.9258000000000012
2024;6;36.0;Prises à usage personnel;2.324399999999979
2024;1;36.0;Prises à usage personnel;0.8994000000000013
2024;2;36.0;Prises à usage personnel;0.8556000000000009
2024;3;36.0;Prises à usage personnel;0.9144000000000015
2024;4;36.0;Prises à usage personnel;0.891000000000001
2024;5;36.0;Prises à usage personnel;0.9054000000000011
2024;6;36.0;Prises à usage personnel;2.403599999999966
2024;1;36.0;Prises à usage personnel;0.9138000000000012
2024;2;36.0;Prises à usage personnel;0.8364000000000009
2024;3;36.0;Prises à usage personnel;0.9156000000000013
2024;4;36.0;Prises à usage personnel;0.874800000000001
2024;5;36.0;Prises à usage personnel;0.9168000000000014
2024;6;36.0;Prises à usage personnel;2.230199999999978
